epochs,loss,accuracy,val_loss,val_accuracy
0,1.472868800163269,0.3177083432674408,0.9298422932624817,0.5102040767669678
1,1.0000957250595093,0.5833333134651184,0.7054932117462158,0.7755101919174194
2,0.7241750359535217,0.7447916865348816,0.5918616056442261,0.795918345451355
3,0.5733788013458252,0.7916666865348816,0.569341778755188,0.7755101919174194
4,0.5657716989517212,0.78125,0.5128872990608215,0.8163265585899353
5,0.458866149187088,0.8177083134651184,0.4779510796070099,0.8163265585899353
6,0.4268362522125244,0.8333333134651184,0.4643201529979706,0.8163265585899353
7,0.39223727583885193,0.8541666865348816,0.4301329553127289,0.8367347121238708
8,0.3954700529575348,0.828125,0.41914281249046326,0.8571428656578064
9,0.38114288449287415,0.859375,0.406297892332077,0.8571428656578064
10,0.3200930058956146,0.875,0.3979465067386627,0.8775510191917419
11,0.3019680976867676,0.8854166865348816,0.385434091091156,0.8979591727256775
12,0.3195888102054596,0.9010416865348816,0.3797466456890106,0.8775510191917419
13,0.2860764265060425,0.8958333134651184,0.3607557713985443,0.8979591727256775
14,0.2599184215068817,0.890625,0.3592073917388916,0.8775510191917419
15,0.26190292835235596,0.890625,0.3403121531009674,0.918367326259613
16,0.2614290714263916,0.921875,0.3331596851348877,0.918367326259613
17,0.22600173950195312,0.9322916865348816,0.33259356021881104,0.918367326259613
18,0.24016982316970825,0.921875,0.331652969121933,0.918367326259613
19,0.248066708445549,0.9114583134651184,0.33690544962882996,0.8979591727256775
20,0.2089238166809082,0.921875,0.33009856939315796,0.918367326259613
21,0.22905565798282623,0.921875,0.32953542470932007,0.9387755393981934
22,0.20997188985347748,0.9322916865348816,0.3241359293460846,0.918367326259613
23,0.21456241607666016,0.9427083134651184,0.32123544812202454,0.8979591727256775
24,0.18004769086837769,0.96875,0.3305833041667938,0.8979591727256775
25,0.19473260641098022,0.9375,0.326642245054245,0.8979591727256775
26,0.21218419075012207,0.9427083134651184,0.32258081436157227,0.8979591727256775
27,0.19834451377391815,0.9375,0.3568529486656189,0.8979591727256775
28,0.17325352132320404,0.9479166865348816,0.3435055911540985,0.8979591727256775
29,0.197745218873024,0.9479166865348816,0.32137900590896606,0.8979591727256775
30,0.18839502334594727,0.9427083134651184,0.3222682774066925,0.918367326259613
31,0.1846415400505066,0.9375,0.35782739520072937,0.8979591727256775
